"ZCTA5CE10","pc_park"
"73433",0
"84523",78.104
"73434",0
"73437",0
"73438",0
"84525",87.907
"72015",0.563
"72016",3.504
"72017",16.438
"84526",37.846
"73439",4.548
"73440",0
"73441",0
"84528",50.846
"73442",0
"84529",21.644
"73443",0
"73444",0
"84530",70.33
"72019",0.014
"94573",0
"94574",12.328
"94575",0.049
"94576",0
"94577",4.537
"94578",12.633
"94579",1.803
"94580",8.304
"94582",2.594
"94583",7.444
"94585",10.504
"94586",50.814
"94587",15.266
"94588",19.441
"94589",12.427
"94590",4.676
"94591",16.248
"94592",3.264
"94595",0.757
"94596",28.569
"94597",7.828
"94598",47.033
"94599",15.826
"94601",2.614
"42647",69.817
"42649",39.991
"48847",4.878
"42653",72.951
"48848",4.67
"39648",1.271
"48849",0.216
"48850",1.147
"39652",0.063
"48851",4.609
"48852",0
"48853",3.231
"42701",0.948
"42712",0.06
"39653",35.991
"43103",3.951
"20158",0.8
"37097",1.356
"43105",0.407
"49461",13.514
"20164",8.213
"37098",0
"43106",0
"59701",63.606
"59703",0.785
"43107",0.137
"43109",30.511
"20165",15.563
"59710",64.477
"49464",2.229
"37101",0
"20166",0.422
"43110",7.693
"96022",1.637
"96023",52.45
"96024",32.612
"96025",44.382
"96027",74.202
"96028",42.92
"96029",0.183
"96031",99.281
"96032",45.192
"96033",63.66
"96034",26.709
"96035",8.786
"96037",0
"96038",0
"96039",98.424
"96040",85.087
"96041",77.874
"96044",19.574
"96046",80.946
"96047",7.236
"96048",87.248
"96049",95.229
"96050",55.27
"96051",66.468
"96052",55.667
"96054",47.006
"96055",56.683
"96056",57.294
"92705",1.843
"92706",7.637
"92707",2.107
"92708",12.598
"92780",0.922
"92782",9.354
"92801",2.023
"92802",1.604
"92804",2.86
"92805",1.697
"92806",7.898
"92807",15.854
"92808",13.317
"23112",0.449
"43821",18.477
"49969",79.188
"49970",62.924
"23113",0.765
"49971",36.095
"54540",21.959
"54554",54.358
"43822",0.034
"23114",0.949
"23115",0
"43824",0
"43830",33.774
"23116",0.946
"43832",0.424
"43836",0
"23117",0
"23119",0
"43837",0
"23120",0.765
"43840",0
"43842",0
"23123",2.534
"43843",8.939
"23124",2.955
"23125",3.878
"23126",0
"23128",0
"23129",0.687
"23130",1.4
"43844",5.208
"23138",0.036
"43845",5.812
"43901",0
"43902",0
"43903",0
"33851",0
"37748",10.311
"37752",0.555
"37753",39.939
"37754",0
"37755",1.811
"37756",55.236
"37757",20.088
"33852",5.216
"37760",3.95
"37762",2.382
"33853",3.379
"33854",0
"33855",0
"33856",0
"33857",0
"37763",7.015
"33859",6.782
"37764",1.558
"37765",1.252
"33860",0.516
"37766",28.953
"33865",0
"33867",0
"37769",11.826
"33868",2.438
"37770",27.474
"33870",4.589
"02703",7.488
"02713",1.225
"02715",4.383
"02717",11.141
"02718",25.658
"02719",12.11
"02720",15.761
"02721",2.712
"02723",2.826
"02724",0.895
"02725",0.253
"75904",1.766
"75925",0.047
"75926",18.497
"75928",0
"75929",59.131
"75930",12.073
"75931",35.294
"75932",2.176
"75933",0
"75934",0
"75935",1.542
"75936",0
"75937",6.027
"75938",2.356
"75939",0
"75941",0.161
"75942",0
"75943",0
"75944",39.961
"75946",0
"75948",33.299
"75949",16.337
"75951",10.487
"75954",15.605
"75956",1.2
"75959",19.12
"75960",0
"75961",3.091
"75962",4.442
"42101",0.378
"42102",12.929
"48619",22.079
"48621",29.401
"42103",0.237
"48622",4.83
"48623",3.361
"42104",0.528
"42120",0
"42122",0
"42123",8.331
"42124",0
"39422",0
"42127",3.059
"39423",32.135
"48624",20.679
"42129",0.921
"42130",0
"39425",73.311
"42133",2.487
"39426",9.459
"39427",0
"42134",0.126
"42140",0
"48625",23.927
"48626",1.96
"48627",0
"48628",10.143
"39428",0
"48629",57.947
"48630",0
"42141",5.207
"27517",14.452
"31903",9.561
"27518",5.615
"27519",8.08
"31904",9.179
"27520",3.087
"27521",0.115
"27522",4.304
"31906",1.254
"27523",13.589
"27524",0.948
"31907",2.885
"27525",0
"56060",1.195
"56062",0.928
"56063",2.519
"56065",2.295
"56068",1.933
"56069",0.708
"56071",0.863
"56072",0.127
"56073",2.093
"56074",2.33
"56075",0
"56078",0
"56080",0
"56081",0.492
"56082",2.596
"41534",0
"41535",0
"41537",2.668
"41538",0
"41539",0.031
"41540",55.764
"41543",0
"41544",0
"41547",0
"41548",31.851
"41553",0
"41554",20.118
"41555",0
"41557",13.12
"41558",0
"41559",0
"41560",0
"41562",5.866
"41563",1.977
"41564",0
"72020",0.296
"73446",0.104
"73447",12.329
"72021",16.52
"84532",88.413
"84533",93.367
"72022",2.174
"73448",12.226
"73449",0
"73450",0.674
"72023",8.33
"73453",0.159
"73455",41.405
"84534",8.354
"72024",0.538
"73456",0
"72025",2.115
"72026",14.098
"73458",0
"72027",0
"73459",18.27
"84535",75.444
"72029",1.849
"72030",7.845
"84537",78.089
"84539",52.412
"73460",7.231
"84540",72.171
"84542",0.926
"73461",0
"72031",3.469
"73463",1.036
"73481",0
"94602",7.55
"94603",1.826
"94605",22.177
"94606",4.566
"94607",2.87
"94608",12.53
"94609",1.555
"94610",16.413
"94611",36.12
"94612",4.184
"94613",0
"94618",4.321
"94619",76.997
"94621",12.625
"94702",2.419
"94703",1.513
"94704",7.059
"94705",32.853
"94706",4.704
"94707",0.853
"94708",49.739
"94709",1.484
"94710",29.546
"94720",0.299
"94801",12.763
"94803",37.682
"94804",9.722
"94805",13.569
"94806",7.882
"94850",51.904
"94901",30.051
"94903",39.099
"94904",51.458
"43111",41.143
"20169",4.195
"43112",1.999
"49503",4.411
"20170",8.458
"59711",61.491
"59713",32.771
"20171",7.794
"37110",3.302
"43113",1.312
"43115",0.206
"43116",13.619
"43117",0
"49504",5.696
"37115",8.123
"37118",0
"20175",4.382
"43119",18.989
"49505",8.95
"59714",14.552
"20176",5.586
"49506",4.679
"37122",9.999
"20180",0.797
"20181",2.164
"37127",0.216
"92821",1.787
"92823",51.485
"92831",8.327
"92832",1.867
"92833",5.081
"92835",14.972
"92840",2.056
"92841",1.195
"92843",0.172
"92844",2.661
"92845",1.532
"92860",6.725
"92861",0
"92865",7.044
"92866",3.233
"92867",5.51
"92868",6.094
"92869",18.697
"92870",2.567
"92879",1.41
"92880",34.964
"92881",24.528
"92882",47.044
"92883",50.946
"92886",16.497
"92887",38.396
"93001",8.983
"93003",3.573
"93004",2.847
"93010",0.979
"93012",3.031
"93013",54.177
"93015",13.564
"43905",0
"23139",4.139
"23140",2.231
"43906",0.069
"23141",0
"23146",0
"23148",0.001
"43907",5.733
"23149",0
"43908",0.376
"23150",0.596
"23153",0
"43910",3.099
"23156",0.503
"23160",0
"23161",9.109
"23163",0
"23168",1.695
"43912",0.025
"43913",11.611
"43914",0
"23169",0
"23173",0
"43915",12.166
"37771",0.939
"33872",6.222
"37772",3.023
"33873",0.244
"33875",18.435
"37774",3.054
"33876",4.02
"33877",0.51
"37777",14.528
"37779",0
"33880",0.885
"37801",5.385
"33881",1.126
"37803",12.308
"33884",0.131
"37804",0.284
"37806",0.036
"33890",0.245
"33896",0.106
"37807",12.787
"37809",0.96
"33897",14.971
"37810",6.124
"37811",10.216
"33898",14.037
"37813",0.505
"33901",0.689
"37814",11.146
"37818",0
"33903",2.364
"37819",0.011
"37820",0.017
"75964",4.963
"75965",0.055
"75966",0.02
"75968",31.898
"75969",0.544
"75972",15.273
"75973",38.297
"75974",0.005
"75975",0
"75976",0
"75977",0.002
"75978",0
"75979",4.966
"75980",58.322
"76001",9.582
"76002",10.482
"76006",23.924
"76008",0.004
"76009",0.082
"76010",3.474
"76011",3.173
"76012",7.715
"76013",4.989
"76014",2.96
"76015",2.068
"76016",4.04
"76017",4.231
"76018",6.416
"76020",0.271
"48631",8.917
"42151",0.011
"42153",1.437
"42154",0
"42156",51.376
"42157",0
"42159",0
"42160",1.954
"42163",0
"39429",3.747
"48632",15.709
"48633",0
"48634",2.274
"48635",27.147
"42164",4.176
"48636",76.943
"42166",0.713
"39437",0.038
"48637",0.002
"48638",9.849
"39439",0
"42167",0.072
"56083",0.692
"56085",0.406
"56087",0.679
"56088",0.93
"56089",13.207
"56090",1.106
"56091",0.959
"56093",2.07
"56096",2.896
"56097",2.28
"56098",1.247
"56101",4.44
"56110",0.249
"56111",0
"56113",7.738
"56114",2.054
"56115",4.046
"56116",0.557
"56117",2.516
"56118",1.757
"56119",1.063
"56120",0.552
"56121",1.231
"56122",1.258
"56123",7.375
"56125",0.069
"56127",0
"56128",0.56
"73487",0
